Geneset	Gene	Color
STAGA	ATXN7	#0000FF
STAGA	ATXN7L3	#0000FF
STAGA	ENY2	#0000FF
Shared	KAT2A	#00FF00
Shared	KAT2B	#00FF00
Shared	SGF29	#0000FF
STAGA	SUPT3H	#0000FF
STAGA	SUPT7L	#0000FF
STAGA	SUPT20H	#0000FF
STAGA	TADA1	#0000FF
STAGA	TADA2B	#0000FF
Shared	TADA3	#00FF00
STAGA	TAF6L	#0000FF
STAGA	TRRAP	#0000FF
STAGA	USP22	#0000FF
STAGA	TAF5L	#0000FF
STAGA	EP300	#0000FF
STAGA	TAF10	#0000FF
STAGA	TAF12	#0000FF
ATAC	ZZZ3	#FF0000
ATAC	KAT14	#FF0000
ATAC	DR1	#FF0000
ATAC	HCFC1	#FF0000
ATAC	MBIP	#FF0000
ATAC	POLE3	#FF0000
ATAC	TADA2A	#FF0000
ATAC	WDR5	#FF0000
ATAC	YEATS2	#FF0000
Shared	CCDC101	#00FF00
